Date,Sunlight Hours,Wind Speed (km/h),Water Temperature (°C),Water Clarity (index),Dissolved Oxygen (mg/L),Ammonia Level (mg/L),Nitrate Level (mg/L),pH Level,Fish Density (fish/m³),Feed Rate (kg/day),Yield (kg)
2022-01-01,12.03,8.11,19.67,2.18,13.28,6.17,28.92,7.16,7.96,4.21,98.41
2022-01-02,12.07,6.15,20.15,2.32,13.77,5.9,28.69,7.06,8.23,4.67,88.92
2022-01-03,12.1,5.9,20.29,2.47,15.09,5.62,28.22,7.5,8.67,4.84,84.82
2022-01-04,12.14,6.97,20.16,2.12,16.39,5.49,27.7,7.72,9.02,4.89,97.8
2022-01-05,12.17,6.23,20.4,2.49,13.87,5.93,28.71,7.11,8.26,4.69,87.01
2022-01-06,12.21,5.74,20.59,2.43,15.98,5.48,27.88,7.55,8.96,5.0,86.52
2022-01-07,12.24,8.67,20.09,2.22,12.02,6.58,29.47,6.85,7.52,4.14,96.9
2022-01-08,12.27,7.28,20.46,2.55,13.61,6.14,28.88,7.04,8.1,4.41,80.04
2022-01-09,12.31,8.98,20.21,2.23,12.68,6.52,29.25,6.95,7.7,4.07,91.9
2022-01-10,12.34,5.17,21.06,2.39,13.88,5.91,28.68,7.1,8.31,4.89,92.28
2022-01-11,12.38,9.11,20.36,2.14,14.41,6.22,28.59,7.17,8.25,4.21,106.36
2022-01-12,12.41,6.56,20.96,2.27,13.89,6.08,28.72,7.07,8.23,4.47,79.75
2022-01-13,12.44,8.98,20.56,2.26,15.14,6.09,28.35,7.43,8.48,4.38,87.85
2022-01-14,12.48,8.16,20.81,2.06,14.61,6.13,28.48,7.31,8.36,4.55,98.74
2022-01-15,12.51,7.69,20.99,2.44,15.25,5.97,28.3,7.38,8.59,4.55,93.78
2022-01-16,12.54,8.02,21.01,2.49,14.16,6.24,28.75,7.29,8.22,4.39,90.42
2022-01-17,12.58,9.28,20.84,2.33,12.45,6.73,29.42,6.82,7.6,4.05,71.94
2022-01-18,12.61,6.88,21.41,2.36,14.56,6.08,28.54,7.36,8.42,4.59,104.42
2022-01-19,12.64,7.73,21.33,2.24,14.73,6.15,28.49,7.45,8.42,4.65,88.15
2022-01-20,12.68,6.02,21.75,2.34,14.13,6.11,28.67,7.19,8.33,4.56,99.79
2022-01-21,12.71,5.14,22.01,2.45,14.25,6.02,28.62,7.3,8.41,4.69,91.18
2022-01-22,12.74,7.87,21.55,2.24,14.39,6.28,28.64,7.27,8.3,4.41,96.99
2022-01-23,12.77,8.14,21.58,2.32,12.93,6.61,29.23,7.01,7.81,4.28,93.76
2022-01-24,12.8,7.18,21.85,2.57,14.31,6.26,28.72,7.2,8.31,4.45,98.61
2022-01-25,12.83,6.47,22.08,2.6,11.31,6.8,29.85,6.49,7.39,4.15,102.49
2022-01-26,12.87,7.95,21.86,2.37,14.04,6.42,28.83,7.29,8.17,4.52,99.04
2022-01-27,12.9,4.21,22.69,2.7,14.57,5.96,28.55,7.3,8.56,4.91,96.22
2022-01-28,12.93,5.71,22.47,2.39,13.9,6.25,28.81,7.09,8.26,4.78,102.94
2022-01-29,12.96,8.5,21.99,2.39,13.61,6.61,29.04,7.12,8.0,4.2,83.16
2022-01-30,12.99,6.44,22.48,2.34,14.17,6.3,28.74,7.3,8.3,4.8,84.75
2022-01-31,13.02,6.2,22.61,2.47,16.21,5.89,27.98,7.83,8.97,4.94,93.88
2022-02-01,13.05,7.29,22.46,2.52,14.8,6.29,28.58,7.29,8.45,4.5,111.37
2022-02-02,13.08,8.32,22.33,2.48,11.94,6.98,29.71,6.83,7.47,4.19,91.93
2022-02-03,13.1,6.3,22.81,2.63,14.07,6.37,28.85,7.34,8.27,4.78,89.21
2022-02-04,13.13,6.88,22.77,2.48,13.03,6.65,29.24,6.94,7.9,4.37,91.59
2022-02-05,13.16,6.95,22.83,2.4,15.15,6.25,28.44,7.38,8.57,4.86,89.93
2022-02-06,13.19,3.36,23.62,2.79,15.49,5.83,28.24,7.52,8.9,5.29,98.26
2022-02-07,13.22,5.06,23.35,2.54,15.16,6.08,28.39,7.43,8.69,5.1,107.97
