Date,Sunlight Hours,Wind Speed (km/h),Water Temperature (°C),Water Clarity (index),Dissolved Oxygen (mg/L),Ammonia Level (mg/L),Nitrate Level (mg/L),pH Level,Fish Density (fish/m³),Feed Rate (kg/day),Yield (kg)
2020-01-01,12.03,3.11,20.67,2.43,14.68,5.39,28.24,7.47,8.71,5.27,78.85
2020-01-02,12.07,8.89,19.6,2.19,15.27,5.87,28.2,7.47,8.55,4.44,77.09
2020-01-03,12.1,8.66,19.74,2.28,14.67,5.98,28.45,7.5,8.37,4.39,64.5
2020-01-04,12.14,6.91,20.18,2.24,14.01,5.96,28.63,7.31,8.26,4.63,58.76
2020-01-05,12.17,7.66,20.11,2.2,13.57,6.14,28.82,6.98,8.07,4.3,83.75
2020-01-06,12.21,6.76,20.38,2.28,14.45,5.89,28.48,7.2,8.41,4.68,73.61
2020-01-07,12.24,9.96,19.83,2.25,12.85,6.55,29.21,6.84,7.7,3.92,70.54
2020-01-08,12.27,3.66,21.18,2.37,15.77,5.35,27.88,7.73,9.01,5.15,61.98
2020-01-09,12.31,7.38,20.53,2.35,14.05,6.08,28.69,7.32,8.24,4.67,72.74
2020-01-10,12.34,7.04,20.68,2.27,13.89,6.1,28.73,7.24,8.21,4.54,74.41
2020-01-11,12.38,6.97,20.78,2.58,13.8,6.12,28.83,7.29,8.18,4.62,69.96
2020-01-12,12.41,8.34,20.6,2.27,13.41,6.36,28.97,6.96,7.97,4.43,71.14
2020-01-13,12.44,5.16,21.32,2.4,15.58,5.62,28.05,7.59,8.85,4.93,82.87
2020-01-14,12.48,6.55,21.13,2.38,14.04,6.09,28.7,7.31,8.27,4.56,73.43
2020-01-15,12.51,8.41,20.85,2.28,15.63,5.97,28.16,7.62,8.67,4.66,82.55
2020-01-16,12.54,7.75,21.06,2.29,13.39,6.37,28.99,7.09,7.99,4.28,79.49
2020-01-17,12.58,8.99,20.9,2.19,13.16,6.56,29.11,6.91,7.84,4.15,70.76
2020-01-18,12.61,8.31,21.12,2.49,13.19,6.5,29.14,7.02,7.89,4.2,71.32
2020-01-19,12.64,7.21,21.43,2.38,14.95,6.05,28.41,7.29,8.52,4.77,66.86
2020-01-20,12.68,8.03,21.35,2.1,13.18,6.51,29.07,6.9,7.9,4.42,70.56
2020-01-21,12.71,4.96,22.05,2.65,14.8,5.89,28.44,7.43,8.6,4.83,65.74
2020-01-22,12.74,5.42,22.04,2.45,13.95,6.12,28.76,7.15,8.3,4.9,77.29
2020-01-23,12.77,7.28,21.75,2.47,14.43,6.23,28.66,7.31,8.34,4.51,84.25
2020-01-24,12.8,6.56,21.98,2.34,13.2,6.42,29.08,7.06,7.99,4.59,62.96
2020-01-25,12.83,7.41,21.89,2.39,14.73,6.21,28.54,7.31,8.43,4.54,77.2
2020-01-26,12.87,6.56,22.14,2.32,14.67,6.16,28.53,7.38,8.46,4.63,88.49
2020-01-27,12.9,6.3,22.27,2.34,14.7,6.14,28.51,7.34,8.48,4.72,73.55
2020-01-28,12.93,8.79,21.85,2.42,14.88,6.37,28.57,7.38,8.39,4.49,74.73
2020-01-29,12.96,6.52,22.38,2.44,13.2,6.49,29.12,7.01,7.99,4.38,75.69
2020-01-30,12.99,6.24,22.52,2.58,16.65,5.79,27.84,7.86,9.1,5.1,94.09
2020-01-31,13.02,8.11,22.22,2.41,13.03,6.71,29.26,6.91,7.83,4.26,85.74
2020-02-01,13.05,4.24,23.07,2.55,15.0,5.95,28.39,7.36,8.69,5.04,70.04
2020-02-02,13.08,8.63,22.27,2.19,13.05,6.79,29.24,7.02,7.81,4.15,66.8
2020-02-03,13.1,5.86,22.9,2.56,14.57,6.22,28.63,7.34,8.46,4.85,76.53
2020-02-04,13.13,6.79,22.79,2.53,16.0,6.05,28.13,7.56,8.85,4.91,65.62
2020-02-05,13.16,10.25,22.17,2.26,13.17,6.97,29.29,6.9,7.74,4.1,81.96
2020-02-06,13.19,6.27,23.04,2.61,15.05,6.21,28.49,7.32,8.58,4.87,78.35
2020-02-07,13.22,5.26,23.31,2.53,15.65,6.0,28.21,7.62,8.83,4.95,76.45
2020-02-08,13.24,7.8,22.88,2.57,16.98,6.0,27.82,7.77,9.1,5.06,74.84
2020-02-09,13.27,5.35,23.43,2.6,13.99,6.37,28.87,7.22,8.29,4.77,70.07
2020-02-10,13.3,7.14,23.15,2.41,16.0,6.16,28.15,7.63,8.83,4.76,88.52
2020-02-11,13.32,4.61,23.72,2.66,14.98,6.13,28.49,7.39,8.65,5.16,83.41
2020-02-12,13.35,5.35,23.64,2.63,17.89,5.63,27.41,8.0,9.54,5.35,77.27
2020-02-13,13.37,7.05,23.36,2.43,13.81,6.63,28.99,7.21,8.13,4.46,86.73
2020-02-14,13.4,9.32,22.97,2.47,12.98,7.04,29.42,6.81,7.72,4.15,71.4
2020-02-15,13.42,7.6,23.38,2.41,14.9,6.49,28.61,7.3,8.44,4.52,90.4
2020-02-16,13.45,10.15,22.93,2.27,15.45,6.65,28.48,7.55,8.46,4.45,85.39
2020-02-17,13.47,8.77,23.27,2.41,15.28,6.56,28.52,7.62,8.49,4.66,86.67
2020-02-18,13.49,5.88,23.91,2.77,16.29,6.08,28.1,7.83,8.99,5.03,75.32
2020-02-19,13.52,6.99,23.75,2.46,14.66,6.52,28.7,7.45,8.4,4.79,90.61
2020-02-20,13.54,9.36,23.33,2.32,14.35,6.84,28.89,7.35,8.15,4.39,86.08
2020-02-21,13.56,7.47,23.76,2.42,15.56,6.42,28.38,7.42,8.65,4.71,96.77
2020-02-22,13.58,6.91,23.93,2.59,16.27,6.23,28.13,7.82,8.91,4.96,86.01
2020-02-23,13.6,4.68,24.43,2.68,14.24,6.42,28.83,7.28,8.4,4.8,75.65
2020-02-24,13.62,3.8,24.66,2.62,14.07,6.38,28.86,7.14,8.39,5.03,96.26
2020-02-25,13.64,7.65,23.94,2.43,17.14,6.16,27.81,8.0,9.14,4.96,89.15
2020-02-26,13.66,8.35,23.85,2.48,15.54,6.56,28.46,7.51,8.59,4.59,93.38
2020-02-27,13.68,5.08,24.56,2.69,14.68,6.41,28.7,7.37,8.51,4.92,93.73
2020-02-28,13.7,6.89,24.24,2.35,15.12,6.51,28.54,7.4,8.54,4.82,104.77
2020-02-29,13.72,6.94,24.28,2.52,13.79,6.79,29.08,7.05,8.11,4.66,87.55
2020-03-01,13.73,6.94,24.32,2.54,14.91,6.58,28.66,7.31,8.47,4.61,72.28
2020-03-02,13.75,9.1,23.93,2.5,15.46,6.69,28.54,7.47,8.51,4.64,93.58
2020-03-03,13.77,7.92,24.21,2.49,14.35,6.81,28.92,7.31,8.23,4.39,80.54
2020-03-04,13.78,6.5,24.54,2.42,15.24,6.49,28.51,7.41,8.6,4.72,88.75
2020-03-05,13.8,5.78,24.72,2.61,14.82,6.51,28.68,7.33,8.51,4.92,95.57
2020-03-06,13.81,4.17,25.08,2.64,17.25,5.87,27.7,7.91,9.38,5.28,90.81
2020-03-07,13.83,5.1,24.93,2.69,15.39,6.35,28.46,7.62,8.73,5.09,80.41
2020-03-08,13.84,5.35,24.92,2.5,17.69,5.92,27.56,7.93,9.45,5.46,87.7
2020-03-09,13.86,3.67,25.29,2.75,15.64,6.17,28.33,7.54,8.89,5.32,107.12
2020-03-10,13.87,5.07,25.04,2.59,15.34,6.37,28.46,7.45,8.71,4.9,86.75
2020-03-11,13.88,6.42,24.8,2.44,13.86,6.81,29.05,7.03,8.16,4.5,83.56
2020-03-12,13.89,2.44,25.63,2.8,15.89,6.01,28.2,7.6,9.04,5.38,91.34
2020-03-13,13.9,5.26,25.09,2.64,15.21,6.44,28.54,7.32,8.65,5.08,88.42
2020-03-14,13.91,6.98,24.78,2.57,15.62,6.53,28.44,7.41,8.68,4.79,112.07
2020-03-15,13.92,3.88,25.42,2.72,15.4,6.27,28.43,7.57,8.8,5.1,94.28
2020-03-16,13.93,4.06,25.41,2.77,15.51,6.27,28.41,7.6,8.82,5.24,98.76
2020-03-17,13.94,5.08,25.23,2.67,14.2,6.64,28.93,7.3,8.34,4.78,92.33
2020-03-18,13.95,7.15,24.84,2.49,15.58,6.57,28.46,7.52,8.66,4.7,104.49
2020-03-19,13.96,4.96,25.29,2.52,15.69,6.34,28.33,7.62,8.83,5.06,94.02
2020-03-20,13.96,3.27,25.65,2.71,16.38,6.03,28.04,7.82,9.15,5.28,89.0
2020-03-21,13.97,7.94,24.73,2.43,14.85,6.81,28.76,7.25,8.38,4.5,95.84
2020-03-22,13.97,4.27,25.48,2.59,15.02,6.41,28.58,7.35,8.65,5.0,100.77
2020-03-23,13.98,4.7,25.41,2.81,15.06,6.45,28.62,7.38,8.64,4.88,86.06
2020-03-24,13.98,5.7,25.22,2.56,15.77,6.41,28.34,7.68,8.81,4.86,93.16
2020-03-25,13.99,5.73,25.22,2.53,16.03,6.36,28.24,7.51,8.89,5.05,82.83
2020-03-26,13.99,7.57,24.87,2.83,14.33,6.89,29.02,7.18,8.23,4.48,87.59
2020-03-27,13.99,6.6,25.07,2.57,14.44,6.77,28.89,7.13,8.32,4.62,92.04
2020-03-28,14.0,6.43,25.11,2.55,14.38,6.77,28.9,7.29,8.32,4.81,99.45
2020-03-29,14.0,4.89,25.42,2.73,16.19,6.25,28.19,7.78,8.99,5.21,90.0
2020-03-30,14.0,4.58,25.48,2.6,15.81,6.29,28.29,7.72,8.89,5.24,86.0
2020-03-31,14.0,8.07,24.79,2.58,16.53,6.5,28.16,7.8,8.91,4.66,82.52
2020-04-01,14.0,6.68,25.06,2.64,16.44,6.38,28.15,7.85,8.96,4.81,91.42
2020-04-02,14.0,4.73,25.45,2.63,15.11,6.45,28.57,7.37,8.65,5.0,86.14
2020-04-03,14.0,4.89,25.42,2.69,15.25,6.44,28.54,7.36,8.69,4.95,90.47
2020-04-04,14.0,7.36,24.92,2.53,15.35,6.66,28.56,7.52,8.57,4.61,89.45
2020-04-05,13.99,3.59,25.66,2.61,15.17,6.32,28.5,7.43,8.74,5.11,92.41
2020-04-06,13.99,6.03,25.17,2.61,14.1,6.78,29.0,7.25,8.25,4.8,92.8
2020-04-07,13.99,4.39,25.49,2.63,15.48,6.34,28.42,7.52,8.79,5.03,89.7
2020-04-08,13.98,3.97,25.56,2.75,16.42,6.1,28.06,7.85,9.12,5.17,88.9
2020-04-09,13.98,6.7,25.0,2.56,16.04,6.45,28.28,7.59,8.83,5.0,77.06
2020-04-10,13.97,5.2,25.29,2.6,16.17,6.27,28.18,7.55,8.96,5.11,95.04
2020-04-11,13.97,5.27,25.26,2.81,15.81,6.35,28.36,7.61,8.84,5.02,92.97
2020-04-12,13.96,5.61,25.17,2.74,14.73,6.59,28.76,7.47,8.48,4.95,91.81
2020-04-13,13.95,4.49,25.38,2.75,15.8,6.27,28.32,7.52,8.89,5.11,90.98
2020-04-14,13.94,4.37,25.38,2.76,14.55,6.5,28.79,7.41,8.5,4.99,82.48
2020-04-15,13.94,6.76,24.88,2.71,15.37,6.57,28.56,7.54,8.62,4.66,90.79
2020-04-16,13.93,5.04,25.2,2.41,14.83,6.5,28.64,7.34,8.55,4.84,99.3
2020-04-17,13.92,2.98,25.59,2.85,17.92,5.67,27.46,7.99,9.66,5.56,95.94
2020-04-18,13.91,6.54,24.85,2.58,14.35,6.74,28.91,7.17,8.3,4.58,100.26
2020-04-19,13.9,3.54,25.42,2.84,16.4,6.02,28.05,7.63,9.14,5.24,82.84
2020-04-20,13.89,4.63,25.18,2.69,14.45,6.52,28.81,7.4,8.45,4.83,85.69
2020-04-21,13.87,2.86,25.5,2.69,15.96,6.03,28.16,7.67,9.04,5.43,82.04
2020-04-22,13.86,6.69,24.7,2.53,15.46,6.51,28.47,7.66,8.65,4.87,95.21
2020-04-23,13.85,4.55,25.1,2.5,14.18,6.54,28.86,7.19,8.37,4.78,101.13
2020-04-24,13.84,4.65,25.04,2.71,15.13,6.36,28.55,7.46,8.67,5.02,90.37
2020-04-25,13.82,6.67,24.6,2.44,13.92,6.79,29.03,7.16,8.16,4.56,94.1
2020-04-26,13.81,4.0,25.1,2.84,15.07,6.29,28.56,7.48,8.69,5.16,87.26
2020-04-27,13.79,5.73,24.71,2.48,15.65,6.34,28.34,7.53,8.77,5.05,88.5
2020-04-28,13.78,4.79,24.86,2.59,15.52,6.26,28.37,7.57,8.79,5.11,79.64
2020-04-29,13.76,2.32,25.31,2.83,15.08,6.1,28.48,7.49,8.8,5.41,87.14
2020-04-30,13.74,1.32,25.47,2.83,15.88,5.83,28.13,7.71,9.11,5.52,88.89
2020-05-01,13.73,6.5,24.39,2.34,15.45,6.42,28.4,7.54,8.67,4.98,89.68
2020-05-02,13.71,2.95,25.05,2.63,15.01,6.15,28.48,7.57,8.74,5.09,82.28
2020-05-03,13.69,4.14,24.77,2.67,15.08,6.24,28.51,7.49,8.69,5.14,85.43
2020-05-04,13.67,3.68,24.81,2.65,14.74,6.26,28.61,7.25,8.61,5.1,88.21
2020-05-05,13.65,3.75,24.75,2.73,12.94,6.61,29.31,7.04,8.03,4.93,99.48
2020-05-06,13.63,4.13,24.62,2.5,15.83,6.06,28.18,7.58,8.93,5.14,81.37
2020-05-07,13.61,4.88,24.42,2.68,15.27,6.24,28.45,7.39,8.71,5.09,81.39
2020-05-08,13.59,2.84,24.77,2.8,17.09,5.66,27.7,8.02,9.42,5.5,93.53
2020-05-09,13.57,4.14,24.46,2.6,15.4,6.12,28.35,7.55,8.8,5.23,89.8
2020-05-10,13.55,2.35,24.76,2.86,16.0,5.81,28.1,7.55,9.1,5.42,98.61
2020-05-11,13.53,0.73,25.03,2.76,16.25,5.59,27.91,7.6,9.28,5.81,91.01
2020-05-12,13.51,3.4,24.43,2.81,15.53,5.99,28.3,7.69,8.89,5.13,70.1
2020-05-13,13.48,4.13,24.23,2.67,15.43,6.07,28.33,7.57,8.82,5.24,76.68
2020-05-14,13.46,4.82,24.03,2.56,16.05,6.0,28.1,7.57,8.97,5.08,90.62
2020-05-15,13.44,4.69,23.99,2.54,13.75,6.44,28.96,7.26,8.25,4.75,76.04
2020-05-16,13.41,4.25,24.02,2.6,16.57,5.82,27.88,7.87,9.18,5.24,99.51
2020-05-17,13.39,4.13,23.98,2.73,16.3,5.85,27.99,7.7,9.1,5.26,83.49
2020-05-18,13.36,2.11,24.32,2.51,17.16,5.46,27.54,7.92,9.5,5.65,100.22
2020-05-19,13.34,2.8,24.11,2.74,15.97,5.75,28.06,7.61,9.08,5.46,95.07
2020-05-20,13.31,4.66,23.68,2.65,15.99,5.92,28.1,7.73,8.97,5.29,87.72
2020-05-21,13.28,3.1,23.92,2.78,14.9,5.97,28.47,7.53,8.72,5.3,90.82
2020-05-22,13.26,4.16,23.64,2.53,14.91,6.06,28.46,7.54,8.66,5.21,84.57
2020-05-23,13.23,1.83,24.03,2.74,16.73,5.45,27.71,7.79,9.38,5.69,104.77
2020-05-24,13.2,6.86,22.96,2.34,16.45,6.0,27.93,7.84,8.99,5.09,89.47
2020-05-25,13.18,3.58,23.54,2.67,15.12,5.92,28.37,7.5,8.77,5.29,80.25
2020-05-26,13.15,2.34,23.72,2.73,15.88,5.63,28.03,7.6,9.08,5.39,100.73
2020-05-27,13.12,2.59,23.59,2.69,15.01,5.82,28.36,7.31,8.79,5.3,84.96
2020-05-28,13.09,2.81,23.47,2.79,16.64,5.5,27.77,7.87,9.3,5.65,85.37
2020-05-29,13.06,2.23,23.51,2.69,15.09,5.74,28.3,7.53,8.84,5.3,83.56
2020-05-30,13.03,6.23,22.64,2.55,14.07,6.32,28.82,7.1,8.28,4.52,73.74
2020-05-31,13.0,4.2,22.97,2.52,11.88,6.55,29.56,6.83,7.7,4.6,97.51
2020-06-01,12.97,1.76,23.38,2.6,16.32,5.4,27.78,7.68,9.27,5.52,80.16
2020-06-02,12.94,2.08,23.23,2.66,14.99,5.68,28.31,7.31,8.83,5.3,83.7
2020-06-03,12.91,0.88,23.39,2.78,14.99,5.55,28.28,7.5,8.9,5.46,76.74
2020-06-04,12.88,3.17,22.86,2.69,16.8,5.4,27.66,7.92,9.34,5.62,67.2
2020-06-05,12.85,3.42,22.73,2.6,15.8,5.61,28.02,7.64,9.01,5.31,71.51
2020-06-06,12.82,4.35,22.46,2.47,15.43,5.76,28.17,7.66,8.84,5.08,71.74
2020-06-07,12.79,3.6,22.53,2.59,14.34,5.89,28.57,7.19,8.53,4.91,90.42
2020-06-08,12.76,1.92,22.78,2.51,13.82,5.81,28.68,7.31,8.47,5.26,56.59
2020-06-09,12.72,1.67,22.75,2.57,15.7,5.39,27.96,7.73,9.09,5.61,76.5
2020-06-10,12.69,2.4,22.52,2.71,14.94,5.6,28.3,7.42,8.8,5.28,84.75
2020-06-11,12.66,6.98,21.52,2.37,14.02,6.22,28.76,7.29,8.24,4.62,78.72
2020-06-12,12.63,1.14,22.6,2.56,15.23,5.38,28.1,7.66,8.97,5.66,77.66
2020-06-13,12.59,2.97,22.15,2.61,14.01,5.79,28.63,7.15,8.48,4.95,88.29
2020-06-14,12.56,5.81,21.5,2.52,13.22,6.22,29.02,6.97,8.05,4.71,70.44
2020-06-15,12.53,5.51,21.47,2.39,14.29,5.96,28.57,7.22,8.42,4.82,73.51
2020-06-16,12.49,3.62,21.76,2.56,13.99,5.81,28.64,7.28,8.43,4.97,70.48
2020-06-17,12.46,3.37,21.72,2.59,13.28,5.91,28.9,6.91,8.22,4.82,78.76
2020-06-18,12.43,3.79,21.55,2.67,15.09,5.57,28.24,7.37,8.78,5.08,77.07
2020-06-19,12.39,2.18,21.79,2.92,14.01,5.61,28.63,7.11,8.53,5.06,65.25
2020-06-20,12.36,1.48,21.84,2.67,15.87,5.15,27.83,7.82,9.17,5.59,81.34
2020-06-21,12.33,1.84,21.68,2.65,15.46,5.25,27.99,7.68,9.02,5.53,77.07
2020-06-22,12.29,3.55,21.25,2.58,15.05,5.49,28.2,7.52,8.79,5.3,58.97
2020-06-23,12.26,0.25,21.82,2.78,14.68,5.22,28.24,7.26,8.87,5.51,80.78
2020-06-24,12.22,2.98,21.18,2.43,15.08,5.39,28.12,7.45,8.84,5.22,71.99
2020-06-25,12.19,3.86,20.92,2.58,14.01,5.68,28.58,7.15,8.44,5.1,71.4
2020-06-26,12.15,2.17,21.17,2.36,15.35,5.23,27.96,7.6,8.97,5.31,84.77
2020-06-27,12.12,5.41,20.43,2.35,14.09,5.78,28.56,7.31,8.38,4.65,85.83
2020-06-28,12.09,2.77,20.87,2.73,14.69,5.38,28.29,7.53,8.73,5.18,63.39
2020-06-29,12.05,1.45,21.04,2.68,14.55,5.26,28.28,7.29,8.77,5.42,61.8
2020-06-30,12.02,2.71,20.7,2.47,14.31,5.42,28.37,7.23,8.61,5.12,83.09
2020-07-01,11.98,3.73,20.41,2.45,13.73,5.62,28.62,7.2,8.37,4.86,79.32
2020-07-02,11.95,4.7,20.13,2.4,14.21,5.6,28.46,7.3,8.47,4.93,74.03
2020-07-03,11.91,1.44,20.69,2.56,14.07,5.29,28.41,7.29,8.62,5.42,61.09
2020-07-04,11.88,4.24,20.04,2.37,14.24,5.51,28.41,7.4,8.51,5.0,84.51
2020-07-05,11.85,2.54,20.29,2.62,12.56,5.66,29.02,6.88,8.07,5.02,71.75
2020-07-06,11.81,4.71,19.77,2.45,15.37,5.3,28.0,7.61,8.84,5.18,81.56
2020-07-07,11.78,0.89,20.44,2.58,16.41,4.7,27.47,7.77,9.41,5.81,88.5
2020-07-08,11.74,4.11,19.71,2.54,12.76,5.73,28.97,6.82,8.05,4.77,69.98
2020-07-09,11.71,2.69,19.9,2.49,15.56,5.01,27.83,7.7,9.03,5.36,71.67
2020-07-10,11.67,1.38,20.08,2.56,16.54,4.67,27.42,7.84,9.43,5.81,66.96
2020-07-11,11.64,3.18,19.63,2.61,15.12,5.11,28.03,7.36,8.86,5.39,82.1
2020-07-12,11.61,5.69,19.04,2.36,13.69,5.63,28.62,7.29,8.26,4.78,48.61
2020-07-13,11.57,1.53,19.78,2.67,14.26,5.09,28.29,7.16,8.69,5.26,74.77
2020-07-14,11.54,3.46,19.31,2.42,12.31,5.65,29.05,6.71,7.95,4.91,74.01
2020-07-15,11.51,3.81,19.15,2.65,14.24,5.29,28.37,7.3,8.55,4.99,65.17
2020-07-16,11.47,2.91,19.25,2.4,12.97,5.43,28.76,6.96,8.2,4.9,61.54
2020-07-17,11.44,1.61,19.42,2.59,14.36,5.01,28.21,7.2,8.73,5.29,76.34
2020-07-18,11.41,2.81,19.1,2.5,15.45,4.9,27.82,7.64,9.0,5.42,77.31
2020-07-19,11.37,4.42,18.69,2.35,13.22,5.49,28.7,7.0,8.2,4.82,61.65
2020-07-20,11.34,3.65,18.76,2.44,15.49,4.94,27.82,7.49,8.97,5.16,74.03
2020-07-21,11.31,3.97,18.61,2.37,12.39,5.57,28.99,6.75,7.96,4.8,88.22
2020-07-22,11.28,5.21,18.28,2.5,14.76,5.21,28.16,7.53,8.65,5.04,80.91
2020-07-23,11.24,1.48,18.94,2.44,13.03,5.16,28.64,6.87,8.32,5.15,73.26
2020-07-24,11.21,1.7,18.81,2.6,14.44,4.89,28.14,7.5,8.76,5.39,72.19
2020-07-25,11.18,4.15,18.24,2.42,13.02,5.4,28.74,7.06,8.16,4.91,86.16
2020-07-26,11.15,4.67,18.06,2.35,14.61,5.12,28.13,7.3,8.64,4.98,58.78
2020-07-27,11.12,0.14,18.88,2.74,15.06,4.56,27.86,7.65,9.05,5.62,68.38
2020-07-28,11.09,1.69,18.49,2.44,12.21,5.27,28.93,6.83,8.05,4.91,75.97
2020-07-29,11.06,2.4,18.27,2.56,13.29,5.11,28.57,6.94,8.36,5.18,73.93
2020-07-30,11.03,5.05,17.66,2.4,14.11,5.2,28.33,7.17,8.46,4.77,75.65
2020-07-31,11.0,1.25,18.34,2.54,12.72,5.08,28.72,6.88,8.24,5.15,69.37
2020-08-01,10.97,2.01,18.11,2.43,14.4,4.8,28.09,7.26,8.74,5.37,65.5
2020-08-02,10.94,4.71,17.5,2.48,13.26,5.29,28.63,7.02,8.21,4.71,73.1
2020-08-03,10.91,1.66,18.03,2.31,13.73,4.87,28.29,7.13,8.55,5.11,61.05
2020-08-04,10.88,2.09,17.87,2.5,14.43,4.76,28.08,7.21,8.75,5.37,60.37
2020-08-05,10.85,1.76,17.86,2.54,13.69,4.86,28.35,7.12,8.53,5.25,57.22
2020-08-06,10.82,3.24,17.49,2.37,12.75,5.19,28.72,7.05,8.14,4.91,69.27
2020-08-07,10.8,3.46,17.38,2.54,11.58,5.43,29.21,6.59,7.76,4.68,56.42
2020-08-08,10.77,2.45,17.51,2.59,11.13,5.4,29.34,6.53,7.67,4.83,68.52
2020-08-09,10.74,3.29,17.27,2.29,14.17,4.87,28.16,7.37,8.6,5.26,70.62
2020-08-10,10.72,3.84,17.09,2.38,11.2,5.5,29.32,6.61,7.62,4.71,58.61
2020-08-11,10.69,1.14,17.56,2.6,11.76,5.11,29.03,6.78,7.96,5.08,62.42
2020-08-12,10.66,5.09,16.71,2.35,12.31,5.38,28.93,6.87,7.9,4.56,64.83
2020-08-13,10.64,3.07,17.05,2.39,14.33,4.76,28.08,7.39,8.67,5.04,63.7
2020-08-14,10.61,4.84,16.63,2.4,11.9,5.41,29.08,6.6,7.79,4.54,55.33
2020-08-15,10.59,5.53,16.42,2.16,11.69,5.51,29.13,6.79,7.68,4.46,63.75
2020-08-16,10.56,3.47,16.77,2.4,12.27,5.18,28.87,6.91,7.99,4.91,71.12
2020-08-17,10.54,5.34,16.34,2.4,13.12,5.18,28.62,7.15,8.15,4.54,67.9
2020-08-18,10.52,6.38,16.07,2.28,12.63,5.37,28.81,6.86,7.93,4.44,68.52
2020-08-19,10.49,5.01,16.28,2.36,11.99,5.35,29.01,6.67,7.81,4.67,55.47
2020-08-20,10.47,2.08,16.81,2.28,14.76,4.49,27.83,7.29,8.87,5.26,63.72
