Files already downloaded and verified
Files already downloaded and verified
Code execution.....
Data Loaded: 1000 rows, 9 columns, size of 9000 
Epoch 1/100, Train Loss: 15756.5501, Val Loss: 2798.7356
Epoch 2/100, Train Loss: 2695.9839, Val Loss: 1533.3642
Epoch 3/100, Train Loss: 1393.6842, Val Loss: 1340.7600
Epoch 4/100, Train Loss: 1177.4239, Val Loss: 1172.9925
Epoch 5/100, Train Loss: 1140.4136, Val Loss: 1108.0982
Epoch 6/100, Train Loss: 1064.5471, Val Loss: 1051.5683
Epoch 7/100, Train Loss: 1029.7383, Val Loss: 1015.1732
Epoch 8/100, Train Loss: 989.8149, Val Loss: 972.9133
Epoch 9/100, Train Loss: 968.3552, Val Loss: 939.1519
Epoch 10/100, Train Loss: 961.7673, Val Loss: 925.0274
Epoch 11/100, Train Loss: 906.3273, Val Loss: 901.0710
Epoch 12/100, Train Loss: 897.2477, Val Loss: 927.8833
Epoch 13/100, Train Loss: 882.2943, Val Loss: 880.1779
Epoch 14/100, Train Loss: 887.0678, Val Loss: 943.1468
Epoch 15/100, Train Loss: 903.5671, Val Loss: 925.5801
Epoch 16/100, Train Loss: 867.2979, Val Loss: 861.9547
Epoch 17/100, Train Loss: 852.4221, Val Loss: 964.0188
Epoch 18/100, Train Loss: 823.9264, Val Loss: 835.4149
Epoch 19/100, Train Loss: 807.8975, Val Loss: 895.6973
Epoch 20/100, Train Loss: 813.5179, Val Loss: 829.1717
Epoch 21/100, Train Loss: 816.5123, Val Loss: 843.8686
Epoch 22/100, Train Loss: 815.4583, Val Loss: 827.8837
Epoch 23/100, Train Loss: 850.9163, Val Loss: 828.8412
Epoch 24/100, Train Loss: 800.0415, Val Loss: 838.7849
Epoch 25/100, Train Loss: 801.7275, Val Loss: 858.9467
Epoch 26/100, Train Loss: 792.1117, Val Loss: 888.3920
Epoch 27/100, Train Loss: 793.7044, Val Loss: 859.0732
Epoch 28/100, Train Loss: 808.3466, Val Loss: 847.8388
Epoch 29/100, Train Loss: 821.8629, Val Loss: 853.1325
Epoch 30/100, Train Loss: 790.0673, Val Loss: 828.6888
Epoch 31/100, Train Loss: 811.0178, Val Loss: 904.5681
Epoch 32/100, Train Loss: 816.6724, Val Loss: 879.9142
Epoch 33/100, Train Loss: 820.1338, Val Loss: 828.8950
Epoch 34/100, Train Loss: 771.0912, Val Loss: 838.9596
Epoch 35/100, Train Loss: 805.1929, Val Loss: 838.5417
Epoch 36/100, Train Loss: 788.7990, Val Loss: 846.3095
Epoch 37/100, Train Loss: 831.4084, Val Loss: 837.4487
Epoch 38/100, Train Loss: 786.4859, Val Loss: 849.5388
Epoch 39/100, Train Loss: 780.4080, Val Loss: 826.5528
Epoch 40/100, Train Loss: 771.8120, Val Loss: 935.7851
Epoch 41/100, Train Loss: 795.7960, Val Loss: 837.2924
Epoch 42/100, Train Loss: 780.6654, Val Loss: 882.1141
Epoch 43/100, Train Loss: 783.8844, Val Loss: 832.6020
Epoch 44/100, Train Loss: 886.8600, Val Loss: 1132.6791
Epoch 45/100, Train Loss: 848.7611, Val Loss: 831.1313
Epoch 46/100, Train Loss: 799.2053, Val Loss: 926.4648
Epoch 47/100, Train Loss: 795.8594, Val Loss: 847.8594
Epoch 48/100, Train Loss: 767.2646, Val Loss: 874.9820
Epoch 49/100, Train Loss: 758.4877, Val Loss: 849.1472
Epoch 50/100, Train Loss: 754.9194, Val Loss: 850.7766
Epoch 51/100, Train Loss: 768.0168, Val Loss: 838.5871
Epoch 52/100, Train Loss: 764.6711, Val Loss: 864.2730
Epoch 53/100, Train Loss: 800.0896, Val Loss: 834.1480
Epoch 54/100, Train Loss: 826.0929, Val Loss: 1099.6734
Epoch 55/100, Train Loss: 807.3372, Val Loss: 932.6448
Epoch 56/100, Train Loss: 953.2878, Val Loss: 1099.5494
Epoch 57/100, Train Loss: 786.4488, Val Loss: 845.4292
Epoch 58/100, Train Loss: 788.1002, Val Loss: 844.8491
Epoch 59/100, Train Loss: 752.2879, Val Loss: 909.1991
Epoch 60/100, Train Loss: 776.3436, Val Loss: 884.4371
Epoch 61/100, Train Loss: 762.2424, Val Loss: 875.3895
Epoch 62/100, Train Loss: 755.1547, Val Loss: 848.9356
Epoch 63/100, Train Loss: 826.0332, Val Loss: 845.9754
Epoch 64/100, Train Loss: 803.4904, Val Loss: 886.6740
Epoch 65/100, Train Loss: 753.4775, Val Loss: 846.6216
Epoch 66/100, Train Loss: 747.8211, Val Loss: 845.1722
Epoch 67/100, Train Loss: 787.0499, Val Loss: 964.8177
Epoch 68/100, Train Loss: 765.5190, Val Loss: 844.8801
Epoch 69/100, Train Loss: 759.4176, Val Loss: 845.4148
Epoch 70/100, Train Loss: 799.0298, Val Loss: 844.7832
Epoch 71/100, Train Loss: 784.4969, Val Loss: 862.7519
Epoch 72/100, Train Loss: 758.7842, Val Loss: 857.1632
Epoch 73/100, Train Loss: 742.0629, Val Loss: 866.8099
Epoch 74/100, Train Loss: 758.5991, Val Loss: 875.1739
Epoch 75/100, Train Loss: 748.8994, Val Loss: 924.0729
Epoch 76/100, Train Loss: 789.5814, Val Loss: 847.0770
Epoch 77/100, Train Loss: 769.8929, Val Loss: 892.9349
Epoch 78/100, Train Loss: 748.6791, Val Loss: 861.0516
Epoch 79/100, Train Loss: 826.1924, Val Loss: 855.8532
Epoch 80/100, Train Loss: 786.5851, Val Loss: 851.8932
Epoch 81/100, Train Loss: 752.5093, Val Loss: 883.2338
Epoch 82/100, Train Loss: 730.5501, Val Loss: 863.4335
Epoch 83/100, Train Loss: 758.7078, Val Loss: 860.7254
Epoch 84/100, Train Loss: 743.4495, Val Loss: 865.9744
Epoch 85/100, Train Loss: 737.5459, Val Loss: 861.9591
Epoch 86/100, Train Loss: 733.6971, Val Loss: 868.8603
Epoch 87/100, Train Loss: 748.2896, Val Loss: 864.8704
Epoch 88/100, Train Loss: 733.0671, Val Loss: 882.6646
Epoch 89/100, Train Loss: 742.9220, Val Loss: 863.3833
Epoch 90/100, Train Loss: 741.6894, Val Loss: 869.3171
Epoch 91/100, Train Loss: 761.9409, Val Loss: 997.0430
Epoch 92/100, Train Loss: 786.3623, Val Loss: 859.8245
Epoch 93/100, Train Loss: 720.9650, Val Loss: 886.2200
Epoch 94/100, Train Loss: 735.6879, Val Loss: 866.5466
Epoch 95/100, Train Loss: 728.0128, Val Loss: 868.0061
Epoch 96/100, Train Loss: 751.8687, Val Loss: 921.1430
Epoch 97/100, Train Loss: 717.6938, Val Loss: 887.7468
Epoch 98/100, Train Loss: 718.5484, Val Loss: 936.3437
Epoch 99/100, Train Loss: 739.8944, Val Loss: 882.9524
Epoch 100/100, Train Loss: 718.4639, Val Loss: 890.6460
Test Mean Squared Error: 895.1487
